,Variable 1,Variable 2,Correlation
235,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",Anxiety Value,0.6595809266
236,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",Anxiety Value,0.5923352355
237,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",Anxiety Value,0.5296251921
238,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",Anxiety Value,0.4837080196
239,Depression Value,Anxiety Value,0.7678789341
240,Anxiety_is_missing,Anxiety Value,
241,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4918878053
242,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3426872771
243,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3775100087
244,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4593468888
245,"5. In a semester, how often have you worried too much about academic affairs? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4358083268
246,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3967514528
247,"7. In a semester, how often have you felt afraid, as if something awful might happen?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.452806248
248,Anxiety Value,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.5351602689
249,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",1
250,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.6727437983
251,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.5903348069
252,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.5600216288
253,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",-0.002251768151
254,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.1119468748
255,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.009707829362
256,"8. In a semester, how often you felt as if your academic performance was on top?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.1260620178
257,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4815632866
258,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.5275875451
259,Stress Value,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.7059914091
260,"1. In a semester, how often have you had little interest or pleasure in doing things?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.1316218416
261,"2. In a semester, how often have you been feeling down, depressed or hopeless?","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4616011924
262,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3645135066
263,"4. In a semester, how often have you been feeling tired or having little energy? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3970245376
264,"5. In a semester, how often have you had poor appetite or overeating? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.323674655
265,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4519456491
266,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3769878477
267,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3387656722
268,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.3278724031
269,Depression Value,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",0.4968711128
270,Anxiety_is_missing,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",
271,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.5112987328
272,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.3565133379
273,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4002763652
274,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4921511763
275,"5. In a semester, how often have you worried too much about academic affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4595285745
276,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4229601933
277,"7. In a semester, how often have you felt afraid, as if something awful might happen?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4596164048
278,Anxiety Value,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.5612857595
279,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.6727437983
280,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",1
281,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.6211946176
282,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.6106722205
283,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.01276592144
284,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.1088027291
285,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.01724352835
286,"8. In a semester, how often you felt as if your academic performance was on top?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.1407310477
287,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.5129987666
288,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.5871386691
289,Stress Value,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.7404635212
290,"1. In a semester, how often have you had little interest or pleasure in doing things?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.1280835573
291,"2. In a semester, how often have you been feeling down, depressed or hopeless?","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4710703629
292,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.386529236
293,"4. In a semester, how often have you been feeling tired or having little energy? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4143605496
294,"5. In a semester, how often have you had poor appetite or overeating? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.3225151311
295,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4700985075
296,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.4039841378
297,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.3418777261
298,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.3204787637
299,Depression Value,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",0.5100177829
300,Anxiety_is_missing,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",
301,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5544351485
302,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.3670515281
303,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4251095581
304,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5241079588
305,"5. In a semester, how often have you worried too much about academic affairs? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5125000866
306,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4590516267
307,"7. In a semester, how often have you felt afraid, as if something awful might happen?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4746685207
308,Anxiety Value,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5997296646
309,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5903348069
310,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.6211946176
311,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",1
312,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.6462539421
313,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",-0.05244934361
314,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.07995274674
315,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",-0.01344671868
316,"8. In a semester, how often you felt as if your academic performance was on top?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.09882512453
317,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5329895463
318,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5960952619
319,Stress Value,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.7096002711
320,"1. In a semester, how often have you had little interest or pleasure in doing things?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.1132853853
321,"2. In a semester, how often have you been feeling down, depressed or hopeless?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4939060037
322,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.3672295513
323,"4. In a semester, how often have you been feeling tired or having little energy? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4450574601
324,"5. In a semester, how often have you had poor appetite or overeating? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.3225180743
325,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.4804334846
326,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.3923726736
327,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.3156717981
328,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.2827541573
329,Depression Value,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",0.5022608513
330,Anxiety_is_missing,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",
331,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.5189873697
332,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.368907125
333,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4014057673
334,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4950019602
335,"5. In a semester, how often have you worried too much about academic affairs? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4764667875
336,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4223258886
337,"7. In a semester, how often have you felt afraid, as if something awful might happen?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4349636245
338,Anxiety Value,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.5638099394
339,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.5600216288
340,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.6106722205
341,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.6462539421
342,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",1
343,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",-0.0167731479
344,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.121293148
345,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",-0.00830743679
346,"8. In a semester, how often you felt as if your academic performance was on top?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.1160697449
347,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.5275260103
348,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.6368658279
349,Stress Value,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.7294106877
350,"1. In a semester, how often have you had little interest or pleasure in doing things?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.1091856159
351,"2. In a semester, how often have you been feeling down, depressed or hopeless?","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4819528807
352,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4015840692
353,"4. In a semester, how often have you been feeling tired or having little energy? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4247989005
354,"5. In a semester, how often have you had poor appetite or overeating? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.3344700193
355,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4551771107
356,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.4101927112
357,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.2954155275
358,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.2984513695
359,Depression Value,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",0.5024313778
360,Anxiety_is_missing,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",
361,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.05220293725
362,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.02371035888
363,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.001641016278
364,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.04923200857
365,"5. In a semester, how often have you worried too much about academic affairs? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.01915142117
366,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.004463194729
367,"7. In a semester, how often have you felt afraid, as if something awful might happen?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.02999667867
368,Anxiety Value,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.02134788267
369,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.002251768151
370,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.01276592144
371,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.05244934361
372,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.0167731479
373,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",1
374,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.4921283331
375,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.4122734365
376,"8. In a semester, how often you felt as if your academic performance was on top?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.4125283243
377,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.08240167846
378,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.004879285224
379,Stress Value,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.3474064789
380,"1. In a semester, how often have you had little interest or pleasure in doing things?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.08356567406
381,"2. In a semester, how often have you been feeling down, depressed or hopeless?","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.07102310086
382,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.02162103631
383,"4. In a semester, how often have you been feeling tired or having little energy? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.003656071709
384,"5. In a semester, how often have you had poor appetite or overeating? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.01754871205
385,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.08969137
386,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.06519614935
387,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",-0.002482592129
388,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.0834189018
389,Depression Value,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",0.04414970444
390,Anxiety_is_missing,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",
391,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1593159228
392,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.07886140886
393,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.07029144805
394,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1307814029
395,"5. In a semester, how often have you worried too much about academic affairs? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1276306905
396,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.07245177945
397,"7. In a semester, how often have you felt afraid, as if something awful might happen?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1085638347
398,Anxiety Value,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1348605335
399,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1119468748
400,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1088027291
401,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.07995274674
402,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.121293148
403,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.4921283331
404,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",1
405,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.4477480731
406,"8. In a semester, how often you felt as if your academic performance was on top?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.4699731118
407,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.03658887974
408,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.09237930068
409,Stress Value,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.4847169164
410,"1. In a semester, how often have you had little interest or pleasure in doing things?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",-0.08126095719
411,"2. In a semester, how often have you been feeling down, depressed or hopeless?","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1723714519
412,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1079910846
413,"4. In a semester, how often have you been feeling tired or having little energy? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.07133764651
414,"5. In a semester, how often have you had poor appetite or overeating? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.08255289462
415,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1528181667
416,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.144978368
417,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.04196784676
418,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.08850066319
419,Depression Value,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",0.1243185148
420,Anxiety_is_missing,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",
421,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.06972847042
422,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",-0.02313689447
423,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.01162159196
424,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.05487220954
425,"5. In a semester, how often have you worried too much about academic affairs? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.0345876851
426,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",-0.002120983201
427,"7. In a semester, how often have you felt afraid, as if something awful might happen?","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.05061713212
428,Anxiety Value,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.03503547244
429,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.009707829362
430,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.01724352835
431,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",-0.01344671868
432,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",-0.00830743679
