,1  Age,2  Gender,3  University,4  Department,5  Academic Year,6  Current CGPA,7  Did you receive a waiver or scholarship at your university?," 1  In a semester, how often you felt nervous, anxious or on edge due to academic pressure?  "," 2  In a semester, how often have you been unable to stop worrying about your academic affairs?  "," 3  In a semester, how often have you had trouble relaxing due to academic pressure?  "," 4  In a semester, how often have you been easily annoyed or irritated because of academic pressure? "," 5  In a semester, how often have you worried too much about academic affairs?  "," 6  In a semester, how often have you been so restless due to academic pressure that it is hard to sit still? "," 7  In a semester, how often have you felt afraid, as if something awful might happen? ",Anxiety Value,Anxiety Label," 1  In a semester, how often have you felt upset due to something that happened in your academic affairs?  "," 2  In a semester, how often you felt as if you were unable to control important things in your academic affairs? "," 3  In a semester, how often you felt nervous and stressed because of academic pressure?  "," 4  In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e g, assignments, quiz, exams)  "," 5  In a semester, how often you felt confident about your ability to handle your academic / university problems? "," 6  In a semester, how often you felt as if things in your academic life is going on your way?  "," 7  In a semester, how often are you able to control irritations in your academic / university affairs?  "," 8  In a semester, how often you felt as if your academic performance was on top? "," 9  In a semester, how often you got angered due to bad performance or low grades that is beyond your control?  "," 10  In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them?  ",Stress Value,Stress Label," 1  In a semester, how often have you had little interest or pleasure in doing things? "," 2  In a semester, how often have you been feeling down, depressed or hopeless? "," 3  In a semester, how often have you had trouble falling or staying asleep, or sleeping too much?  "," 4  In a semester, how often have you been feeling tired or having little energy?  "," 5  In a semester, how often have you had poor appetite or overeating?  "," 6  In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down?  "," 7  In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television?  "," 8  In a semester, how often have you moved or spoke too slowly for other people to notice? Or youve been moving a lot more than usual because youve been restless?  "," 9  In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself?  ",Depression Value,Depression Label,Anxiety_is_missing
324,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,1,2,1,3,2,3,2,14,Moderate Anxiety,3,2,4,3,2,3,1,3,3,2,26,Moderate Stress,1,2,1,2,0,3,2,1,0,12,Moderate Depression,FALSE
325,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,2.50 - 2.99,Yes,1,2,0,2,3,3,3,14,Moderate Anxiety,2,2,2,2,2,2,2,2,3,2,21,Moderate Stress,3,2,0,3,3,3,3,3,0,20,Severe Depression,FALSE
326,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,1,1,1,1,2,1,2,9,Mild Anxiety,2,2,2,2,1,2,1,2,2,3,19,Moderate Stress,2,1,0,1,1,2,2,1,1,11,Moderate Depression,FALSE
327,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,2,3,3,3,3,3,1,18,Severe Anxiety,2,2,4,4,2,3,2,2,1,3,25,Moderate Stress,0,3,3,3,3,3,1,0,0,16,Moderately Severe Depression,FALSE
328,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Below 2.50,Yes,3,3,3,3,3,3,3,21,Severe Anxiety,4,2,2,2,2,2,2,2,2,2,22,Moderate Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
329,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,1,1,7,Mild Anxiety,1,1,1,1,3,3,3,3,1,1,18,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
330,23-26,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,Yes,1,1,2,2,2,2,2,12,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,2,2,2,1,2,2,2,1,2,16,Moderately Severe Depression,FALSE
331,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,3,2,2,3,1,1,1,3,3,21,Moderate Stress,1,2,1,2,1,1,1,1,2,12,Moderate Depression,FALSE
332,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,2,2,2,2,2,2,2,14,Moderate Anxiety,4,4,2,2,2,2,2,2,2,2,24,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression,FALSE
333,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,Yes,1,2,3,2,2,1,1,12,Moderate Anxiety,0,1,2,1,2,2,3,4,2,2,19,Moderate Stress,3,1,1,2,2,3,1,3,2,18,Moderately Severe Depression,FALSE
334,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,1,3,3,1,2,1,3,14,Moderate Anxiety,1,2,2,0,2,2,3,2,2,1,17,Moderate Stress,1,3,2,3,2,2,3,1,3,20,Severe Depression,FALSE
335,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Below 2.50,No,2,0,3,2,3,2,1,13,Moderate Anxiety,4,2,3,4,3,3,3,3,2,4,31,High Perceived Stress,1,3,3,3,3,3,3,2,2,23,Severe Depression,FALSE
336,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,2,1,1,1,1,1,1,8,Mild Anxiety,2,2,3,3,3,2,2,2,2,2,23,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
337,23-26,Male,DU,Biological Sciences,Fourth Year or Equivalent,3.00 - 3.39,No,1,2,1,2,1,1,1,9,Mild Anxiety,2,2,3,2,2,2,2,3,2,2,22,Moderate Stress,1,1,0,3,0,0,0,1,0,6,Mild Depression,FALSE
338,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,1,2,1,1,2,2,1,10,Moderate Anxiety,3,3,3,3,2,2,1,2,2,2,23,Moderate Stress,2,1,2,2,1,3,1,2,1,15,Moderately Severe Depression,FALSE
339,18-22,Female,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,Yes,2,3,2,2,2,3,3,17,Severe Anxiety,2,2,2,2,2,2,2,4,2,2,22,Moderate Stress,3,3,1,2,1,3,2,2,3,20,Severe Depression,FALSE
340,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,2,3,3,1,18,Severe Anxiety,0,0,0,2,2,2,0,2,0,4,12,Low Stress,2,3,3,3,0,3,2,1,0,17,Moderately Severe Depression,FALSE
341,23-26,Female,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,No,2,1,2,1,2,1,0,9,Mild Anxiety,2,2,2,1,2,4,2,4,0,1,20,Moderate Stress,1,2,2,2,2,0,1,1,0,11,Moderate Depression,FALSE
342,23-26,Male,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,No,2,1,1,1,1,1,1,8,Mild Anxiety,2,2,2,2,1,1,1,1,1,2,15,Moderate Stress,1,1,1,2,2,1,1,1,1,11,Moderate Depression,FALSE
343,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,0,0,0,1,10,Moderate Anxiety,0,0,0,0,4,4,4,4,0,0,16,Moderate Stress,1,3,0,0,2,0,1,0,0,7,Mild Depression,FALSE
344,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,2,3,3,3,1,18,Severe Anxiety,2,2,2,0,2,4,2,3,2,2,21,Moderate Stress,0,1,1,3,3,3,0,0,1,12,Moderate Depression,FALSE
345,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,1,1,2,2,2,3,13,Moderate Anxiety,2,2,4,3,2,1,2,2,3,2,23,Moderate Stress,2,3,2,3,1,3,2,1,3,20,Severe Depression,FALSE
346,18-22,Female,NSU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Below 2.50,No,1,2,1,1,1,2,2,10,Moderate Anxiety,2,3,3,3,2,3,2,4,2,1,25,Moderate Stress,1,1,2,3,1,2,3,1,0,14,Moderate Depression,FALSE
347,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,1,2,2,2,2,2,2,13,Moderate Anxiety,3,1,3,2,1,1,1,1,3,3,19,Moderate Stress,1,1,0,0,0,2,1,1,0,6,Mild Depression,FALSE
348,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,Yes,1,1,2,1,2,2,0,9,Mild Anxiety,1,2,2,2,1,2,1,2,1,1,15,Moderate Stress,0,1,2,3,2,2,2,1,0,13,Moderate Depression,FALSE
349,23-26,Female,DU,Environmental and Life Sciences,Third Year or Equivalent,3.00 - 3.39,No,3,1,1,1,1,1,1,9,Mild Anxiety,4,2,4,2,2,0,0,2,2,4,22,Moderate Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
350,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,1,3,0,2,2,2,3,13,Moderate Anxiety,2,2,3,1,1,1,1,1,3,2,17,Moderate Stress,1,0,1,2,2,1,1,0,0,8,Mild Depression,FALSE
351,23-26,Female,DU,Other,Third Year or Equivalent,2.50 - 2.99,No,1,1,2,1,3,1,1,10,Moderate Anxiety,2,3,4,1,0,0,2,4,2,2,20,Moderate Stress,1,1,1,1,0,3,1,1,0,9,Mild Depression,FALSE
352,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,2.50 - 2.99,Yes,3,3,1,2,3,2,3,17,Severe Anxiety,4,4,4,4,1,2,2,1,3,4,29,High Perceived Stress,2,3,1,3,3,3,3,3,3,24,Severe Depression,FALSE
353,23-26,Female,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,No,3,1,1,2,2,2,2,13,Moderate Anxiety,4,3,3,2,2,4,1,2,3,3,27,High Perceived Stress,1,2,0,1,1,2,1,0,0,8,Mild Depression,FALSE
354,27-30,Male,DU,Other,Third Year or Equivalent,2.50 - 2.99,No,2,2,3,2,3,2,0,14,Moderate Anxiety,2,2,2,0,4,4,2,2,2,2,22,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
355,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,Yes,1,1,1,1,1,1,1,7,Mild Anxiety,3,2,2,2,0,0,0,1,3,2,15,Moderate Stress,3,1,1,1,0,1,1,1,0,9,Mild Depression,FALSE
356,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,3,4,4,3,4,0,4,4,4,34,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
357,18-22,Female,NSU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,Yes,2,3,1,1,1,2,3,13,Moderate Anxiety,2,3,3,3,1,3,2,2,3,3,25,Moderate Stress,1,2,3,2,3,3,1,1,2,18,Moderately Severe Depression,FALSE
358,23-26,Male,DU,Environmental and Life Sciences,Third Year or Equivalent,3.00 - 3.39,No,0,1,0,0,0,0,0,1,Minimal Anxiety,0,0,0,0,3,4,2,2,0,1,12,Low Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
359,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,Yes,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,3,3,1,2,2,2,2,2,21,Moderate Stress,0,1,0,2,0,1,1,1,1,7,Mild Depression,FALSE
360,23-26,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,2,1,3,3,3,3,18,Severe Anxiety,3,3,3,4,3,3,2,4,3,3,31,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
361,23-26,Male,DU,Biological Sciences,Fourth Year or Equivalent,3.00 - 3.39,No,2,1,1,1,1,1,1,8,Mild Anxiety,0,2,1,2,3,2,2,2,2,2,18,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
362,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,Yes,3,1,1,2,3,3,2,15,Severe Anxiety,2,2,4,1,1,3,2,2,2,2,21,Moderate Stress,1,3,0,1,3,1,0,3,0,12,Moderate Depression,FALSE
363,18-22,Female,DU,Other,Third Year or Equivalent,3.40 - 3.79,No,3,3,3,3,1,1,1,15,Severe Anxiety,4,4,4,4,0,3,4,2,4,4,33,High Perceived Stress,1,3,3,3,1,3,3,3,3,23,Severe Depression,FALSE
364,23-26,Male,DU,Biological Sciences,Third Year or Equivalent,3.80 - 4.00,No,2,1,2,2,2,2,3,14,Moderate Anxiety,2,2,4,4,1,2,2,0,2,2,21,Moderate Stress,1,2,0,1,0,0,1,1,0,6,Mild Depression,FALSE
365,23-26,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,2,3,3,2,3,3,3,19,Severe Anxiety,2,1,2,2,3,2,3,2,2,1,20,Moderate Stress,0,3,2,3,1,3,3,3,3,21,Severe Depression,FALSE
366,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,3,3,3,3,3,3,3,21,Severe Anxiety,3,2,3,3,0,0,1,0,4,3,19,Moderate Stress,1,3,3,3,3,3,2,1,0,19,Moderately Severe Depression,FALSE
367,23-26,Female,DU,Other,Third Year or Equivalent,3.40 - 3.79,No,2,2,1,1,2,1,2,11,Moderate Anxiety,1,1,3,2,2,2,2,2,2,3,20,Moderate Stress,3,1,0,1,0,1,1,1,0,8,Mild Depression,FALSE
368,18-22,Male,DU,Environmental and Life Sciences,Third Year or Equivalent,2.50 - 2.99,No,2,1,1,1,3,1,3,12,Moderate Anxiety,2,3,4,2,2,2,2,3,2,2,24,Moderate Stress,1,1,2,2,0,3,3,1,0,13,Moderate Depression,FALSE
369,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,2,3,2,2,2,2,2,15,Severe Anxiety,3,3,3,3,2,2,2,3,3,3,27,High Perceived Stress,2,3,3,3,2,2,2,2,1,20,Severe Depression,FALSE
370,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.80 - 4.00,Yes,2,2,2,2,2,1,2,13,Moderate Anxiety,3,4,4,4,1,2,2,1,3,3,27,High Perceived Stress,1,1,0,1,3,2,1,3,2,14,Moderate Depression,FALSE
371,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,Yes,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,0,0,0,0,4,4,24,Moderate Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
372,18-22,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,0,4,4,4,4,4,36,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
373,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,Yes,1,1,1,1,1,3,2,10,Moderate Anxiety,2,2,2,2,1,2,2,1,3,3,20,Moderate Stress,1,1,2,3,2,1,1,1,1,13,Moderate Depression,FALSE
374,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,3,1,2,2,2,16,Severe Anxiety,3,2,2,2,1,1,1,1,3,2,18,Moderate Stress,1,1,2,3,1,1,1,1,1,12,Moderate Depression,FALSE
375,23-26,Male,NSU,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,Other,No,3,0,3,3,3,3,3,18,Severe Anxiety,4,3,4,3,2,2,2,4,3,2,29,High Perceived Stress,1,3,3,3,0,3,2,1,1,17,Moderately Severe Depression,FALSE
376,18-22,Female,DU,Business and Entrepreneurship Studies,Third Year or Equivalent,3.80 - 4.00,No,3,3,3,2,3,3,3,20,Severe Anxiety,4,3,4,3,2,3,3,2,4,4,32,High Perceived Stress,3,3,2,2,2,3,2,2,3,22,Severe Depression,FALSE
377,18-22,Female,DU,Other,Third Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,3,4,4,4,4,4,39,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
378,18-22,Female,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,2,2,4,4,0,0,0,1,3,3,19,Moderate Stress,0,2,3,2,3,2,3,0,0,15,Moderately Severe Depression,FALSE
379,18-22,Male,DU,Other,Second Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,2,3,2,4,4,2,33,High Perceived Stress,1,1,3,3,0,3,2,2,3,18,Moderately Severe Depression,FALSE
380,18-22,Female,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.40 - 3.79,No,2,3,3,3,3,3,3,20,Severe Anxiety,4,4,4,3,3,4,3,4,4,4,37,High Perceived Stress,3,3,3,3,2,3,3,0,3,23,Severe Depression,FALSE
381,18-22,Female,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,2.50 - 2.99,No,2,2,1,1,1,1,1,9,Mild Anxiety,4,4,4,4,2,4,1,4,4,3,34,High Perceived Stress,2,3,3,2,2,3,2,1,3,21,Severe Depression,FALSE
382,18-22,Male,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.00 - 3.39,No,2,1,1,1,2,0,1,8,Mild Anxiety,3,1,3,2,1,2,1,3,3,2,21,Moderate Stress,3,3,1,3,3,3,3,1,2,22,Severe Depression,FALSE
383,18-22,Male,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.00 - 3.39,No,3,3,3,3,2,3,2,19,Severe Anxiety,4,4,4,4,4,4,4,4,0,0,32,High Perceived Stress,3,3,3,3,2,2,3,0,1,20,Severe Depression,FALSE
384,18-22,Male,DU,Business and Entrepreneurship Studies,Third Year or Equivalent,3.00 - 3.39,No,3,3,2,3,3,2,3,19,Severe Anxiety,4,4,4,4,4,4,3,3,4,4,38,High Perceived Stress,3,2,2,3,3,3,3,1,3,23,Severe Depression,FALSE
385,18-22,Male,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,2.50 - 2.99,No,3,3,3,3,3,2,3,20,Severe Anxiety,4,4,4,4,4,1,3,4,3,4,35,High Perceived Stress,1,3,3,3,3,3,3,2,3,24,Severe Depression,FALSE
386,18-22,Female,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,2.50 - 2.99,No,2,2,2,2,2,2,3,15,Severe Anxiety,3,3,3,3,3,4,4,4,2,3,32,High Perceived Stress,2,3,3,3,3,3,3,3,3,26,Severe Depression,FALSE
387,18-22,Female,DU,Biological Sciences,Third Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,2,1,8,Mild Anxiety,2,2,2,2,2,2,2,2,3,2,21,Moderate Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
388,18-22,Male,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,1,2,2,1,2,2,3,2,2,19,Moderate Stress,1,0,1,0,1,1,0,0,0,4,Minimal Depression,FALSE
389,18-22,Male,DU,Other,Second Year or Equivalent,3.40 - 3.79,No,1,1,1,2,1,1,2,9,Mild Anxiety,3,3,4,1,0,1,3,2,4,2,23,Moderate Stress,2,2,2,3,3,1,1,2,3,19,Moderately Severe Depression,FALSE
390,18-22,Female,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.00 - 3.39,No,2,2,3,1,2,3,3,16,Severe Anxiety,3,4,3,4,0,3,2,3,4,4,30,High Perceived Stress,2,3,2,2,2,3,3,0,0,17,Moderately Severe Depression,FALSE
391,18-22,Female,DU,Biological Sciences,Third Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,2,2,2,4,0,2,2,2,4,4,24,Moderate Stress,3,3,3,3,2,3,3,3,3,26,Severe Depression,FALSE
392,18-22,Male,DU,Business and Entrepreneurship Studies,Third Year or Equivalent,3.00 - 3.39,No,1,1,1,0,1,1,1,6,Mild Anxiety,2,2,3,1,0,2,2,4,2,1,19,Moderate Stress,1,2,1,1,1,1,1,0,0,8,Mild Depression,FALSE
393,23-26,Male,DU,Other,Fourth Year or Equivalent,3.00 - 3.39,No,2,2,2,3,2,1,2,14,Moderate Anxiety,3,3,4,3,2,2,1,1,2,2,23,Moderate Stress,2,2,3,2,2,2,2,2,3,20,Severe Depression,FALSE
394,18-22,Female,DU,Other,Second Year or Equivalent,2.50 - 2.99,No,3,3,1,2,2,1,2,14,Moderate Anxiety,3,4,4,4,3,4,4,4,1,4,35,High Perceived Stress,1,1,0,1,2,3,2,1,2,13,Moderate Depression,FALSE
395,18-22,Male,DU,Other,Second Year or Equivalent,3.00 - 3.39,No,2,2,2,3,1,1,1,12,Moderate Anxiety,4,4,4,4,2,3,2,2,2,3,30,High Perceived Stress,2,3,1,3,0,1,2,1,0,13,Moderate Depression,FALSE
396,23-26,Male,DU,Other,Third Year or Equivalent,3.00 - 3.39,No,0,1,1,1,1,1,1,6,Mild Anxiety,0,1,1,1,4,2,2,2,0,0,13,Low Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
397,23-26,Male,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.00 - 3.39,No,3,2,2,3,3,3,3,19,Severe Anxiety,2,3,3,2,1,2,1,3,2,4,23,Moderate Stress,2,2,3,3,2,3,3,2,0,20,Severe Depression,FALSE
398,23-26,Male,NSU,Engineering - EEE/ ECE / Similar to EEE,Fourth Year or Equivalent,3.00 - 3.39,No,3,0,3,3,3,2,2,16,Severe Anxiety,4,4,4,4,3,4,2,2,4,4,35,High Perceived Stress,1,2,2,3,3,3,2,3,2,21,Severe Depression,FALSE
399,23-26,Male,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,No,3,0,3,2,3,3,2,16,Severe Anxiety,4,4,4,4,3,3,4,4,4,4,38,High Perceived Stress,0,3,3,3,3,3,3,1,2,21,Severe Depression,FALSE
400,18-22,Female,DU,Business and Entrepreneurship Studies,Second Year or Equivalent,3.80 - 4.00,No,1,1,1,1,1,1,2,8,Mild Anxiety,2,3,4,3,1,1,1,1,4,4,24,Moderate Stress,2,0,0,1,0,0,0,0,0,3,Minimal Depression,FALSE
401,18-22,Female,DU,Other,Second Year or Equivalent,3.80 - 4.00,No,1,1,1,2,2,0,1,8,Mild Anxiety,4,3,3,3,2,2,1,3,2,3,26,Moderate Stress,1,1,2,1,1,3,2,1,2,14,Moderate Depression,FALSE
402,18-22,Male,DU,Biological Sciences,Third Year or Equivalent,3.00 - 3.39,No,1,1,2,2,2,2,2,12,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,2,2,3,2,2,2,2,2,2,19,Moderately Severe Depression,FALSE
403,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,3,2,2,0,0,0,1,2,2,1,13,Low Stress,2,0,0,2,0,0,0,1,0,5,Mild Depression,FALSE
404,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Other,3.00 - 3.39,No,2,1,2,2,2,1,1,11,Moderate Anxiety,3,3,2,3,2,3,1,2,2,1,22,Moderate Stress,2,2,1,3,1,1,2,2,2,16,Moderately Severe Depression,FALSE
405,18-22,Female,DU,Business and Entrepreneurship Studies,Third Year or Equivalent,3.00 - 3.39,No,2,2,2,2,2,2,2,14,Moderate Anxiety,4,4,4,3,4,4,4,4,4,4,39,High Perceived Stress,0,2,2,3,2,1,0,2,0,12,Moderate Depression,FALSE
406,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,3,2,2,2,2,2,2,2,2,2,21,Moderate Stress,2,1,1,1,1,1,1,1,0,9,Mild Depression,FALSE
407,18-22,Male,DU,Other,Second Year or Equivalent,2.50 - 2.99,No,3,3,3,3,3,3,3,21,Severe Anxiety,3,4,3,4,1,0,1,4,3,4,27,High Perceived Stress,0,3,3,3,2,3,3,3,0,20,Severe Depression,FALSE
408,18-22,Female,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,1,3,3,3,3,2,1,16,Severe Anxiety,2,2,4,2,2,2,2,2,2,2,22,Moderate Stress,3,3,1,3,1,3,3,3,0,20,Severe Depression,FALSE
409,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,1,1,3,0,1,0,1,7,Mild Anxiety,1,0,0,0,4,4,4,4,0,0,17,Moderate Stress,1,1,2,2,0,2,2,1,1,12,Moderate Depression,FALSE
410,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,1,0,2,3,0,1,0,7,Mild Anxiety,1,3,1,3,1,0,2,3,0,4,18,Moderate Stress,1,1,1,1,0,0,1,0,0,5,Mild Depression,FALSE
411,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.80 - 4.00,No,3,1,3,3,2,2,1,15,Severe Anxiety,2,3,3,3,1,2,2,2,2,2,22,Moderate Stress,3,2,3,3,1,2,2,2,2,20,Severe Depression,FALSE
412,23-26,Female,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Other,3.00 - 3.39,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,3,2,2,2,2,2,2,2,21,Moderate Stress,1,1,1,2,1,2,1,1,0,10,Moderate Depression,FALSE
413,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,1,1,1,1,3,3,3,3,1,1,18,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
414,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,1,1,1,2,2,2,2,11,Moderate Anxiety,4,2,1,1,2,4,2,2,3,2,23,Moderate Stress,1,2,2,2,2,1,2,2,0,14,Moderate Depression,FALSE
415,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,0,1,0,5,Mild Anxiety,2,3,2,2,3,2,0,3,4,2,23,Moderate Stress,3,3,2,2,1,3,2,2,1,19,Moderately Severe Depression,FALSE
